datetime,mav_roll,mav_pitch,mav_tilt,mav_acc_x,mav_acc_y,mav_acc_z,sonic_wind_dir,sonic_wind
2020-03-26 18:39:50+00:00,3.727176341,6.501600125,7.362004332,0.114160974,-0.072399011,-0.072399011,133.3260299,6.154660141
2020-03-26 18:39:51+00:00,3.885111916,6.124043961,7.358125108,0.102785114,-0.07007191,-0.07007191,127.8165077,5.884328885
2020-03-26 18:39:52+00:00,4.444693603,5.874786292,7.380926736,0.105716576,-0.072501843,-0.072501843,131.0210288,5.775292159
2020-03-26 18:39:53+00:00,4.086587922,6.124171228,7.413665958,0.102726353,-0.073542954,-0.073542954,127.9478337,5.782117916
2020-03-26 18:39:54+00:00,4.409046023,5.925180864,7.599370548,0.102991444,-0.075671281,-0.075671281,126.9100563,5.513225534
2020-03-26 18:39:55+00:00,4.382893837,5.985201436,7.362123237,0.103474112,-0.07745182,-0.07745182,128.2284825,5.251780322
2020-03-26 18:39:56+00:00,4.467889832,6.153473282,6.989938245,0.104073934,-0.075664687,-0.075664687,126.3314193,5.111415078
2020-03-26 18:39:57+00:00,4.366486937,5.933201251,6.896921781,0.100881672,-0.075910444,-0.075910444,128.99304,5.501286598
2020-03-26 18:39:58+00:00,4.187121314,5.602068819,6.030962773,0.098039963,-0.072650486,-0.072650486,130.6545193,6.126986914
2020-03-26 18:39:59+00:00,3.941082918,5.664454781,5.847602871,0.094469433,-0.067700625,-0.067700625,124.56978,5.853447175
2020-03-26 18:40:00+00:00,3.735004888,4.738573638,7.07186962,0.079006973,-0.068130433,-0.068130433,123.0121219,5.883710196
2020-03-26 18:40:01+00:00,4.105372607,4.167747845,7.11154873,0.08055673,-0.070374652,-0.070374652,126.084527,5.88459373
2020-03-26 18:40:02+00:00,4.619636265,5.360282287,6.961864104,0.088421822,-0.082222169,-0.082222169,125.1404826,5.777243614
2020-03-26 18:40:03+00:00,4.948406588,5.113950429,6.544608316,0.085376126,-0.082052698,-0.082052698,120.3673021,5.717752962
2020-03-26 18:40:04+00:00,4.851757929,4.998777962,6.119750058,0.088868937,-0.081028044,-0.081028044,128.3251586,5.405418495
2020-03-26 18:40:05+00:00,3.967815777,5.208814281,6.62029463,0.080576061,-0.074139878,-0.074139878,128.9887016,5.480106025
2020-03-26 18:40:06+00:00,4.40289632,4.254586073,6.592037443,0.078550783,-0.076885137,-0.076885137,129.8641513,5.426299782
2020-03-26 18:40:07+00:00,4.409878121,4.942626667,5.994899552,0.083510069,-0.075845502,-0.075845502,119.6591092,4.935015987
2020-03-26 18:40:08+00:00,4.133281431,5.139728386,4.943182759,0.084595127,-0.072908421,-0.072908421,133.5526857,5.669537081
2020-03-26 18:40:09+00:00,3.528236863,4.849754277,5.496414729,0.080852525,-0.05944206,-0.05944206,139.1499947,5.768550618
2020-03-26 18:40:10+00:00,2.936293538,3.978328643,5.952362962,0.069850895,-0.052802384,-0.052802384,140.1230689,5.998617132
2020-03-26 18:40:11+00:00,2.723685305,4.775908836,5.713838972,0.085405359,-0.054661706,-0.054661706,129.4572421,5.917652223
2020-03-26 18:40:12+00:00,3.26112455,4.982219957,5.549717836,0.081735021,-0.057518615,-0.057518615,128.7228248,5.831042889
